community_1,community_2,weight
0,4,571.0
0,5,524.0
0,8,401.0
3,6,298.0
4,7,294.0
1,4,243.0
0,9,205.0
0,13,191.0
0,25,190.0
4,15,172.0
0,24,168.0
5,8,160.0
3,12,152.0
2,4,152.0
2,12,136.0
4,9,135.0
4,5,132.0
3,14,121.0
1,11,118.0
7,9,112.0
6,14,106.0
5,9,98.0
1,2,91.0
2,3,89.0
1,13,88.0
4,23,86.0
4,24,84.0
5,13,83.0
4,13,81.0
0,15,78.0
1,3,75.0
7,13,74.0
4,8,69.0
2,14,67.0
4,10,61.0
6,12,60.0
0,7,57.0
0,21,54.0
5,7,50.0
10,16,48.0
2,6,47.0
1,19,46.0
2,20,46.0
4,20,46.0
8,13,45.0
6,7,43.0
0,23,43.0
2,8,43.0
8,23,43.0
9,23,43.0
7,23,43.0
9,13,43.0
3,4,42.0
13,24,42.0
8,24,42.0
1,15,39.0
5,15,39.0
8,9,39.0
13,15,39.0
4,25,38.0
8,25,38.0
13,25,38.0
5,25,38.0
9,10,38.0
2,26,35.0
4,12,34.0
7,10,32.0
0,14,31.0
0,11,30.0
4,11,30.0
1,6,29.0
8,21,27.0
1,21,27.0
1,27,24.0
4,27,24.0
7,8,23.0
4,21,19.0
0,1,10.0
1,7,4.0
3,7,4.0
0,10,3.0
0,6,2.0
0,2,2.0
2,5,2.0
5,10,1.0
1,14,1.0
1,5,1.0
2,13,1.0
4,6,1.0
1,8,1.0
8,10,1.0
